fuseLinkMinAmps,fuseLinkMinSeconds,fuseLinkTotClrAmps,fuseLinkTotClrSeconds
3534.55,0.012995,3534.55,0.012995
3534.55,0.012995,3534.55,0.01
3409.57,0.013431,1869.34,0.01
3198.19,0.014262,1869.34,0.01
2978.99,0.015311,1869.34,0.01
2730.77,0.016703,1801.44,0.010855
2429.26,0.01887,1677.97,0.012374
2200.28,0.021191,1524.37,0.014829
1996.88,0.023726,1372.43,0.018239
1839.67,0.026485,1199.11,0.023941
1659.61,0.030374,999.588,0.034695
1497.18,0.035149,807.016,0.053979
1354.71,0.041124,657.433,0.081989
1235.63,0.047493,533.972,0.124162
1119.17,0.055901,442.457,0.178679
974.908,0.069657,364.069,0.269237
864.666,0.084402,293.343,0.415546
753.209,0.105593,250.221,0.568837
678.811,0.126039,224.156,0.705985
606.887,0.152108,203.231,0.872703
545.849,0.182471,186.67,1.06592
482.675,0.227601,173.355,1.28253
431.101,0.280505,161.635,1.56336
371.795,0.369294,152.985,1.86235
329.094,0.456046,144.365,2.25205
299.569,0.553684,136.366,2.71242
275.984,0.656941,129.845,3.28656
256.299,0.77712,123.636,4.03434
240.409,0.903788,118.551,4.86391
223.708,1.08636,113.789,5.923
211.948,1.25839,109.985,7.30708
200.205,1.47379,105.672,9.22433
187.793,1.76092,102.447,11.703
178.635,2.0644,99.2206,15.0269
169.244,2.47896,95.808,20.777
160.347,3.04604,92.4202,29.6614
150.859,3.79939,90.1384,40.8476
142.643,4.77714,87.825,59.2549
137.187,5.78254,86.172,81.5201
131.281,7.19829,84.7195,119.563
127.912,8.48113,83.7089,162.69
123.884,10.4944,82.876,221.152
119.982,13.103,82.6278,274.472
116.786,16.7073,82.3803,297.035
113.561,20.902,,
111.09,26.7049,,
108.89,33.9825,,
106.414,43.5473,,
104.516,54.6445,,
103.269,70.0948,,
102.038,92.6519,,
100.619,121.613,,
99.8177,160.108,,
99.0224,220.489,,
97.8412,272.83,,
97.8412,298.524,,
