"0,4H","0,5H","0,8H","1H","2H","3H","5H","3K","5K","6K","8K","10K","12K","15K","20K","25K","30K","40K","50K","60K","65K","75K","80K","100K","140K","200K","LAMINA","ELO","S/C","10F","1EF","40EF","65EF","80EF","100EF","6T","8T","10T","12T","15T","20T","25T","30T","40T","50T","65T","80T","100T"
"1.2;300","1.3;300","2.6;300","3.2;300","4.2;300","5.9;300","9.1;300","6;300","10;300","14;100","18;300","23;100","30;300","37;300","46;300","60;100","73;300","100;100","125;300","","152;100","","190;300","240;300","316;300","500;300","","","","","2.5;300","80;300","120;300","170;300","220;100","15;300","18;300","24;300","36;300","36;300","46;300","60;300","73;300","93;300","190;300","150;300","190;300","240;300"
"1.35;100","1.5;100","2.6;100","3.55;100","4.6;100","6.7;100","9.95;100","6;100","10;100","14.5;20","18;100","25;20","31;100","37;100","46;100","68;20","73;100","110;20","125;100","","170;20","","191;100","240;100","400;100","667;100","","","","","2.9;100","90;100","150;100","190;100","260;20","15;100","20;100","26;100","43;100","44;100","52;100","67;100","83;100","110;100","230;100","170;100","230;100","280;100"
"3.8;20","4.2;20","5;20","5.7;20","8;20","10;20","14.5;20","6.3;20","12;20","16;10","21;20","28;10","35;20","41;20","52;20","74;10","82;20","120;10","140;20","","190;10","","220;20","270;20","475;20","853;20","","","","","4;20","105;20","180;20","205;20","300;10","19;20","26;20","34;20","55;20","55;20","71;20","90;20","120;20","145;20","300;20","250;20","300;20","400;20"
"13;1","16;1","18;1","20;1","37;1","38;1","37;1","16;1","28;1","18;5","45;1","31;5","65;1","89;1","105;1","83;5","175;1","135;5","310;1","","230;5","","460;1","620;1","880;1","1620;1","","","","","25;1","200;1","350;1","440;1","330;5","50;1","67;1","90;1","150;1","150;1","190;1","250;1","310;1","400;1","850;1","630;1","850;1","1050;1"
"50;0.1","56;0.1","63;0.1","69;0.1","115;0.1","110;0.1","110;0.1","45;0.1","60;0.1","24;2","120;0.1","40;2","210;0.1","260;0.1","320;0.1","110;2","520;0.1","170;2","880;0.1","","300;2","","1400;0.1","1900;0.1","2374;0.1","3828;0.1","","","","","80;0.1","600;0.1","900;0.1","1100;0.1","415;2","145;0.1","200;0.1","260;0.1","500;0.1","450;0.1","600;0.1","780;0.1","1000;0.1","1300;0.1","2500;0.1","2000;0.1","2500;0.1","3100;0.1"
"","","","","","","","","","32;1","","52;1","","","","140;1","","230;1","","","400;1","","","","","","","","","","","","","","520;1","","","","","","","","","","","","",""
"","","","","","","","","","43.5;.5","","73;.5","","","","190;.5","","310;.5","","","530;.5","","","","","","","","","","","","","","720;.5","","","","","","","","","","","","",""
"","","","","","","","","","65;.1","","115;.1","","","","300;.1","","500;.1","","","800;.1","","","","","","","","","","","","","","1600;.1","","","","","","","","","","","","",""
"","","","","","","","","","87;.05","","155;.05","","","","425;.05","","700;.05","","","1100;.05","","","","","","","","","","","","","","2000;.05","","","","","","","","","","","","",""
"","","","","","","","","","195;.02","","365;.02","","","","890;.02","","1500;.02","","","2400;.02","","","","","","","","","","","","","","3200;.02","","","","","","","","","","","","",""
